"mid","oid","q1","q2","q3","q4","q5","uniqueid","q6"
"117","79","4","1","2","3","3","59006","0"
"99","141","1","2","2","3","3","59007","0"
"117","80","1","2","2","3","3","59008","0"
"99","142","1","2","2","3","3","59009","0"
"117","81","1","2","2","3","3","59010","0"
"117","81","1","2","2","3","3","59011","0"
"117","81","1","2","2","3","3","59012","0"
"117","82","1","2","2","3","3","59013","0"
"117","83","1","2","2","3","3","59014","0"
"99","143","5","1","2","2","2","59015","0"
"117","84","1","2","2","3","3","59016","0"
"99","144","1","2","2","3","3","59017","0"
"117","85","1","2","2","3","3","59018","0"
"99","145","1","2","2","3","3","59019","0"
"99","146","1","2","2","3","3","59020","0"
"99","147","1","2","2","3","3","59021","0"
"117","86","1","2","2","3","3","59022","0"
"99","147","1","2","2","3","3","59023","0"
"117","87","1","2","2","3","3","59024","0"
"99","147","1","2","2","3","3","59025","0"
"99","148","1","2","2","3","3","59026","0"
"99","149","1","2","2","3","3","59027","0"
"117","88","1","2","2","3","3","59028","0"
"99","150","1","2","2","3","3","59029","0"
"99","151","2","2","2","2","3","59030","0"
"117","89","4","1","2","2","3","59031","0"
"99","152","1","2","2","3","3","59032","0"
"117","90","1","2","2","3","3","59033","0"
"99","153","2","2","2","3","3","59034","0"
"117","91","1","2","2","3","3","59035","0"
"117","92","1","2","2","3","3","59036","0"
"117","92","1","2","2","3","3","59037","0"
"117","92","1","2","2","3","3","59038","0"
"99","154","1","2","2","3","3","59039","0"
"117","93","1","2","2","3","3","59040","0"
"99","155","1","2","2","3","3","59041","0"
"99","156","2","2","2","3","3","59042","0"
"117","94","3","2","2","3","3","59043","0"
"99","157","2","2","2","2","2","59044","0"
"99","158","1","2","2","3","3","59045","0"
"117","95","3","2","2","3","3","59046","0"
"99","159","1","2","2","3","3","59047","0"
"99","159","1","2","2","3","3","59048","0"
"99","159","1","2","2","3","3","59049","0"
"117","96","3","2","2","3","3","59050","0"
"99","160","2","2","2","2","2","59051","0"
"117","96","3","2","2","3","3","59052","0"
"117","96","3","2","2","3","3","59053","0"
"99","161","2","2","2","2","2","59054","0"
"99","162","2","2","2","3","3","59055","0"
"117","97","3","2","2","3","3","59056","0"
"99","163","2","2","2","3","3","59057","0"
"117","97","3","2","2","3","3","59058","0"
"117","97","3","2","2","3","3","59059","0"
"99","164","2","2","2","2","2","59060","0"
"99","165","1","2","2","3","3","59061","0"
"117","98","1","2","2","3","3","59062","0"
"99","166","3","2","2","1","1","59063","0"
"99","166","3","2","2","1","1","59064","0"
"117","99","5","1","1","1","1","59065","100"
"99","167","2","2","2","3","3","59066","0"
"99","168","1","2","2","3","3","59067","0"
"117","100","5","1","1","2","1","59068","68"
"117","101","1","2","2","3","3","59069","0"
"117","102","1","2","2","3","3","59070","0"
"99","169","2","2","2","2","2","59071","0"
"99","170","3","2","2","1","1","59072","0"
"117","103","5","1","1","2","2","59073","100"
"117","103","5","1","1","2","2","59074","100"
"99","171","2","2","2","1","1","59075","0"
"99","171","2","2","2","1","1","59076","0"
"99","172","1","2","2","3","3","59077","0"
"117","104","5","1","1","2","1","59078","100"
"99","173","2","2","2","2","3","59079","0"
"117","105","5","1","1","2","2","59080","13"
"99","174","2","2","2","1","3","59081","0"
"99","174","2","2","2","1","3","59082","0"
"117","106","1","2","2","3","3","59083","0"
"99","175","1","2","2","3","3","59084","0"
"117","107","1","2","2","3","3","59085","0"
"99","176","2","2","2","3","3","59086","0"
"117","107","1","2","2","3","3","59087","0"
"117","108","5","1","2","3","3","59088","0"
"117","109","1","2","2","3","3","59089","0"
"117","110","1","2","2","3","3","59090","0"
"117","111","5","1","1","1","1","59091","0"
"117","112","5","1","1","2","1","59092","0"
"117","113","1","2","2","3","3","59093","0"
"117","114","1","2","2","3","3","59094","0"
"117","115","1","2","2","3","3","59095","0"
"117","115","1","2","2","3","3","59096","0"
"117","116","1","2","2","3","3","59097","0"
"117","118","1","2","2","3","3","59098","0"
"117","119","4","1","2","3","3","59099","0"
"117","120","1","2","2","3","3","59100","0"
"117","121","1","2","2","3","3","59101","0"
"117","122","1","2","2","3","3","59102","0"
"117","122","1","2","2","3","3","59103","0"
"117","123","1","2","2","3","3","59104","0"
"117","124","1","2","2","3","3","59105","0"
"117","125","1","2","2","3","3","59106","0"
